id	treenum	term
D000073923	C23.888.821.387	Food Intolerance
D000074009	C04.557.470.035.175.900	Tubular Sweat Gland Adenomas
D000074021	C14.280.067.558.430	Interatrial Block
D000074042	C10.228.140.300.535.200.600	Cerebral Intraventricular Hemorrhage
D000074079	C17.300.849	Undifferentiated Connective Tissue Diseases
D000074270	C06.405.469.531.788	Meconium Ileus
D000074607	C25.775.675.800	Opium Dependence
D000074723	C04.697.850	Oncogene Addiction
D000074742	C06.198.929	Median Arcuate Ligament Syndrome
D000074924	C20.543.480.370.572	Nut and Peanut Hypersensitivity
D000074962	C14.280.647.375	Kounis Syndrome
D000075067	C25.775.814	Substance Abuse, Oral
D000075122	C04.834.794	Smoldering Multiple Myeloma
D000075222	C14.907.489.165	Essential Hypertension
D000075224	C14.280.123	Cardiac Conduction System Disease
D000075262	C19.053.500.263.500	Hypoadrenocorticism, Familial
D000075322	C25.723.522	Heavy Metal Poisoning
D000075363	C04.557.595.250	Immunoglobulin Light-chain Amyloidosis
D000075529	C12.706.846	Solitary Kidney
D000075562	C10.597.606.762.300.500	Charles Bonnet Syndrome
D000075662	C23.550.340.500	Injection Site Reaction
D000075902	C23.550.291.656.350	Clinical Deterioration
D000076042	C10.597.606.525.400.500	Alcoholic Korsakoff Syndrome
D000076082	C23.888.914	Travel-Related Illness
D000076263	C01.539.221.625	Communicable Diseases, Imported
D000076385	C01.539.463.199	Diverticular Diseases
D000126	C06.405.748.045	Achlorhydria
D000130	C05.116.099.343.110	Achondroplasia
D000137	C18.452.076	Acid-Base Imbalance
D000138	C18.452.076.176	Acidosis
D000140	C18.452.076.176.180	Acidosis, Lactic
D000141	C12.777.419.815.093	Acidosis, Renal Tubular
D000142	C08.618.846.093	Acidosis, Respiratory
D000151	C01.252.400.560.022	Acinetobacter Infections
D000152	C17.800.030.150	Acne Vulgaris
D000153	C17.300.200.425.125	Acne Keloid
D000160	C09.218.807.800	Vestibulocochlear Nerve Diseases
D000163	C02.782.815.616.400.040	Acquired Immunodeficiency Syndrome
D000168	C05.116.099.370.894.232.015	Acrocephalosyndactylia
D000169	C16.131.831.066	Acrodermatitis
D000170	C10.668.829.025	Acrodynia
D000172	C05.116.132.082	Acromegaly
D000182	C04.730.713.317	ACTH Syndrome, Ectopic
D000187	C01.252.400.700.030.178	Actinobacillosis
D000189	C01.252.400.700.030	Actinobacillus Infections
D000193	C01.252.410.040	Actinomycetales Infections
D000196	C01.252.410.040.137	Actinomycosis
D000197	C01.252.410.040.137.262	Actinomycosis, Cervicofacial
D000208	C23.550.291.125	Acute Disease
D000210	C23.550.470.099	Acute-Phase Reaction
D000219	C14.280.067.558.137	Adams-Stokes Syndrome
D000224	C19.053.500.263	Addison Disease
D000230	C04.557.470.200.025	Adenocarcinoma
D000231	C04.557.470.200.025.085	Adenocarcinoma, Papillary
D000232	C04.557.450.565.590.595.050	Adenofibroma
D000235	C04.557.435.075	Adenolymphoma
D000236	C04.557.470.035	Adenoma
D000237	C04.557.465.625.650.075	Adenoma, Basophil
D000238	C04.557.465.625.650.095	Adenoma, Chromophobe
D000239	C04.557.465.625.650.025	Adenoma, Acidophil
D000257	C02.256.076	Adenoviridae Infections
D000258	C02.256.076.045	Adenovirus Infections, Human
D000267	C23.550.355.274.840	Tissue Adhesions
D000270	C10.177.045	Adie Syndrome
D000274	C17.800.463.249	Adiposis Dolorosa
D000291	C13.351.500.056	Adnexal Diseases
D000292	C01.539.635.500	Pelvic Inflammatory Disease
D000303	C19.053.098	Adrenal Cortex Diseases
D000306	C04.588.322.078.265	Adrenal Cortex Neoplasms
D000307	C19.053	Adrenal Gland Diseases
D000308	C19.053.800	Adrenocortical Hyperfunction
D000309	C19.053.500	Adrenal Insufficiency
D000310	C04.588.322.078	Adrenal Gland Neoplasms
D000312	C12.706.316.129.500	Adrenal Hyperplasia, Congenital
D000314	C04.557.470.035.232	Adrenal Rest Tumor
D000326	C10.228.140.163.100.084	Adrenoleukodystrophy
D000334	C23.888.821.061	Aerophagy
D000343	C06.405.469.531.099	Afferent Loop Syndrome
D000347	C15.378.100.100.056	Afibrinogenemia
D000355	C02.081.030	African Horse Sickness
D000357	C02.081.885.125	African Swine Fever
D000361	C15.378.147.142	Agammaglobulinemia
D000370	C10.597.751.861.184	Ageusia
D000377	C10.597.606.762.100	Agnosia
D000380	C15.378.553.546.184	Agranulocytosis
D000381	C10.597.606.150.500.050	Agraphia
D000382	C24.080	Agricultural Workers' Diseases
D000386	C02.782.815.616.400.080	AIDS-Related Complex
D000387	C05.116.264.143	Ainhum
D000402	C08.618.846.185	Airway Obstruction
D000405	C10.228.140.042	Akinetic Mutism
D000417	C11.270.040	Albinism
D000419	C12.777.934.734.269	Albuminuria
D000425	C10.720.112.100	Alcohol Amnestic Disorder
D000430	C10.720.112.200	Alcohol Withdrawal Delirium
D000435	C25.775.100.175	Alcoholic Intoxication
D000437	C25.775.100.250	Alcoholism
D000453	C02.256.700.091	Aleutian Mink Disease
D000471	C18.452.076.354	Alkalosis
D000472	C08.618.501.271	Alkalosis, Respiratory
D000474	C16.320.565.100.187	Alkaptonuria
D000505	C17.800.329.937.122	Alopecia
D000506	C17.800.329.937.122.147	Alopecia Areata
D000507	C17.300.550.550	Mucinosis, Follicular
D000532	C08.618.020	Altitude Sickness
D000542	C08.381.483.125	Alveolitis, Extrinsic Allergic
D000544	C10.228.140.380.100	Alzheimer Disease
D000550	C10.228.140.055	Amblyopia
D000562	C03.752.049	Amebiasis
D000564	C04.557.695.065	Ameloblastoma
D000567	C07.650.800.255.500	Amelogenesis Imperfecta
D000568	C23.550.568.500	Amenorrhea
D000592	C16.320.565.100	Amino Acid Metabolism, Inborn Errors
D000608	C12.777.419.815.885	Renal Aminoacidurias
D000647	C10.597.606.525.100	Amnesia
D000648	C10.597.606.525.100.150	Amnesia, Retrograde
D000652	C16.614.042	Amniotic Band Syndrome
D000673	C26.062	Amputation, Traumatic
D000686	C18.452.845.500	Amyloidosis
D000690	C10.228.854.139	Amyotrophic Lateral Sclerosis
D000694	C04.588.083	Anal Gland Neoplasms
D000699	C10.668.829.700	Pain Insensitivity, Congenital
D000707	C20.543.480.099	Anaphylaxis
D000708	C04.697.045	Anaplasia
D000711	C01.252.400.054	Anaplasmataceae Infections
D000712	C01.252.400.054.050	Anaplasmosis
D000724	C03.335.508.700.775.455.154	Ancylostomiasis
D000740	C15.378.071	Anemia
D000741	C15.378.071.085	Anemia, Aplastic
D000742	C15.378.071.141.150.095	Anemia, Dyserythropoietic, Congenital
D000743	C15.378.071.141	Anemia, Hemolytic
D000744	C15.378.071.141.125	Anemia, Hemolytic, Autoimmune
D000745	C15.378.071.141.150	Anemia, Hemolytic, Congenital
D000746	C15.378.071.141.150.100	Anemia, Hemolytic, Congenital Nonspherocytic
D000747	C15.378.071.196	Anemia, Hypochromic
D000748	C15.378.071.252	Anemia, Macrocytic
D000749	C15.378.071.252.196	Anemia, Megaloblastic
D000750	C15.378.071.307	Anemia, Myelophthisic
D000751	C15.378.071.363	Anemia, Neonatal
D000752	C15.378.071.252.196.500	Anemia, Pernicious
D000753	C15.378.071.400	Anemia, Refractory
D000754	C15.378.071.400.080	Anemia, Refractory, with Excess of Blasts
D000755	C15.378.071.141.150.150	Anemia, Sickle Cell
D000756	C15.378.071.419	Anemia, Sideroblastic
D000757	C10.500.680.196	Anencephaly
D000782	C23.550.210.050	Aneuploidy
D000783	C14.907.055	Aneurysm
D000784	C14.907.055.050	Aneurysm, Dissecting
D000785	C01.539.069	Aneurysm, Infected
D000787	C14.280.647.187	Angina Pectoris
D000788	C14.280.647.187.150.150	Angina Pectoris, Variant
D000789	C14.280.647.187.150	Angina, Unstable
D000793	C11.768.094	Angioid Streaks
D000794	C04.557.645.115	Angiokeratoma
D000795	C10.228.140.163.100.435.825.200	Fabry Disease
D000796	C15.378.553.231.085	Angiolymphoid Hyperplasia with Eosinophilia
D000798	C14.907.077	Angiomatosis
D000799	C14.907.079	Angioedema
D000820	C22	Animal Diseases
D000839	C11.744.116	Aniseikonia
D000844	C05.550.069	Ankylosis
D000848	C07.650.800.100	Anodontia
D000849	C10.597.606.150.500.090	Anomia
D000853	C11.250.080	Anophthalmos
D000855	C23.888.821.108	Anorexia
D000857	C10.597.751.600	Olfaction Disorders
D000858	C13.351.500.056.630.050	Anovulation
D000860	C23.888.852.079	Hypoxia
D000868	C05.651.180.063	Anterior Compartment Syndrome
D000874	C08.381.483.581.062.500	Anthracosilicosis
D000881	C01.252.410.090.072	Anthrax
D001002	C12.777.419.078	Anuria
D001004	C06.405.469.860.101	Anus Diseases
D001005	C04.588.274.476.411.307.790.040	Anus Neoplasms
D001006	C06.198.050	Anus, Imperforate
D001014	C14.907.055.239	Aortic Aneurysm
D001015	C14.907.109.239	Aortic Arch Syndromes
D001017	C14.240.400.090	Aortic Coarctation
D001018	C14.907.109	Aortic Diseases
D001019	C14.907.055.185.125	Aortic Rupture
D001020	C14.280.484.150.070	Aortic Stenosis, Subvalvular
D001022	C14.280.484.095	Aortic Valve Insufficiency
D001023	C14.280.484.400.100	Aortic Valve Prolapse
D001024	C14.280.484.150	Aortic Valve Stenosis
D001025	C14.907.109.320	Aortitis
D001028	C14.240.400.560.098	Aortopulmonary Septal Defect
D001035	C11.510.103	Aphakia
D001036	C11.510.103.110	Aphakia, Postcataract
D001037	C10.597.606.150.500.800.100	Aphasia
D001039	C10.597.606.150.500.800.100.100	Aphasia, Broca
D001041	C10.597.606.150.500.800.100.166	Aphasia, Wernicke
D001044	C08.360.940.160	Aphonia
D001049	C08.618.085	Apnea
D001063	C04.588.274.476.411.184.290	Appendiceal Neoplasms
D001064	C01.539.463.099	Appendicitis
D001072	C10.597.606.881.350	Apraxias
D001079	C04.557.465.625.650.135	Apudoma
D001098	C25.723.127.723	Spider Bites
D001100	C10.228.614.097	Arachnoiditis
D001102	C02.081	Arbovirus Infections
D001112	C11.204.299.070	Arcus Senilis
D001117	C02.782.082	Arenaviridae Infections
D001129	C17.800.621.166	Argyria
D001134	C26.088	Arm Injuries
D001139	C10.500.680.291	Arnold-Chiari Malformation
D001145	C14.280.067	Arrhythmias, Cardiac
D001146	C14.280.067.093	Arrhythmia, Sinus
D001157	C14.907.137	Arterial Occlusive Diseases
D001159	C14.240.850.984.500	Arterio-Arterial Fistula
D001161	C14.907.137.126	Arteriosclerosis
D001162	C14.907.137.126.114	Arteriosclerosis Obliterans
D001164	C14.240.850.750.147	Arteriovenous Fistula
D001165	C14.240.850.750	Arteriovenous Malformations
D001167	C14.907.940.090	Arteritis
D001168	C05.550.114	Arthritis
D001169	C05.550.114.015	Arthritis, Experimental
D001170	C01.539.100	Arthritis, Infectious
D001171	C05.550.114.122	Arthritis, Juvenile
D001172	C05.550.114.154	Arthritis, Rheumatoid
D001176	C05.550.150	Arthrogryposis
D001177	C05.550.186	Arthropathy, Neurogenic
D001183	C20.543.520.100	Arthus Reaction
D001184	C10.597.606.150.500.800.150	Articulation Disorders
D001195	C08.381.483.581.125	Asbestosis
D001196	C03.335.508.700.100.070	Ascariasis
D001198	C03.335.508.700.100.080	Ascaridiasis
D001201	C23.550.081	Ascites
D001206	C18.654.521.500.133.115	Ascorbic Acid Deficiency
D001228	C01.703.080	Aspergillosis
D001229	C01.703.080.768.500	Aspergillosis, Allergic Bronchopulmonary
D001237	C23.550.260.095	Asphyxia
D001238	C16.614.092	Asphyxia Neonatorum
D001247	C23.888.089	Asthenia
D001248	C11.093	Asthenopia
D001249	C08.127.108	Asthma
D001250	C08.127.108.110	Asthma, Exercise-Induced
D001251	C11.744.212	Astigmatism
D001254	C04.557.465.625.600.380.080	Astrocytoma
D001259	C10.597.350.090	Ataxia
D001260	C10.228.140.252.190.530.060	Ataxia Telangiectasia
D001261	C08.381.730	Pulmonary Atelectasis
D001264	C10.597.350.110	Athetosis
D001265	C26.115	Athletic Injuries
D001281	C14.280.067.198	Atrial Fibrillation
D001282	C14.280.067.248	Atrial Flutter
D001284	C23.300.070	Atrophy
D001304	C09.218.807.186	Auditory Diseases, Central
D001308	C09.218.807.186.094	Auditory Perceptual Disorders
D001327	C20.111	Autoimmune Diseases
D001329	C23.550.260.224.617.236	Autolysis
D001342	C10.177	Autonomic Nervous System Diseases
D001353	C02.782.815.096	Avian Leukosis
D001357	C02.782.815.800	Sarcoma, Avian
D001361	C18.654.521.500.133	Avitaminosis
D001404	C03.701.688.122	Babesiosis
D001416	C23.888.592.612.107	Back Pain
D001423	C01	Bacterial Infections and Mycoses
D001424	C01.252	Bacterial Infections
D001437	C01.539.895.219	Bacteriuria
D001442	C01.252.400.110.109	Bacteroides Infections
D001446	C12.294.494.136	Balanitis
D001447	C03.432.146	Balantidiasis
D001449	C12.777.419.570.643.150	Balkan Nephropathy
D001469	C26.120	Barotrauma
D001471	C04.834.154	Barrett Esophagus
D001474	C01.252.400.126.100	Bartonella Infections
D001476	C01.252.400.126	Bartonellaceae Infections
D001477	C12.777.419.815.279	Bartter Syndrome
D001478	C04.182.089.530.690.150	Basal Cell Nevus Syndrome
D001480	C10.228.140.079	Basal Ganglia Diseases
D001497	C26.130	Battered Child Syndrome
D001506	C16.131.077.133	Beckwith-Wiedemann Syndrome
D001528	C07.465.075	Behcet Syndrome
D001602	C18.654.521.500.133.699.827.223	Beriberi
D001606	C15.378.100.100.080	Bernard-Soulier Syndrome
D001607	C08.381.483.581.225	Berylliosis
D001630	C26.392.183	Bezoars
D001649	C06.130.120	Bile Duct Diseases
D001650	C04.588.274.120.250	Bile Duct Neoplasms
D001651	C06.130.120.135.150	Cholestasis, Extrahepatic
D001655	C06.130.140	Bile Reflux
D001656	C06.130.120.123	Biliary Atresia
D001657	C06.130.120.250.098	Biliary Dyskinesia
D001658	C06.267.150	Biliary Fistula
D001660	C06.130	Biliary Tract Diseases
D001661	C04.588.274.120	Biliary Tract Neoplasms
D001715	C22.131	Bird Diseases
D001716	C08.381.483.125.125	Bird Fancier's Lung
D001720	C16.614.131	Birth Injuries
D001724	C23.888.144.186	Birth Weight
D001733	C25.723.127	Bites and Stings
D001734	C26.176.071	Bites, Human
D001742	C03.752.530.650.228	Blackwater Fever
D001744	C12.777.829.720	Urinary Bladder Calculi
D001745	C12.777.829	Urinary Bladder Diseases
D001746	C12.706.132	Bladder Exstrophy
D001747	C12.706.881.312	Urinary Bladder Fistula
D001748	C12.777.767.700.962	Urinary Bladder Neck Obstruction
D001749	C04.588.945.947.960	Urinary Bladder Neoplasms
D001750	C10.597.900	Urinary Bladder, Neurogenic
D001752	C04.557.337.539.250.100	Blast Crisis
D001753	C26.120.126	Blast Injuries
D001759	C01.539.800.200.055	Blastomycosis
D001762	C11.338.133	Blepharitis
D001763	C11.338.204	Blepharoptosis
D001764	C11.338.250	Blepharospasm
D001765	C06.405.469.637.145	Blind Loop Syndrome
D001766	C10.597.751.941.162	Blindness
D001768	C17.800.865.187	Blister
D001778	C15.378.100	Blood Coagulation Disorders
D001791	C15.378.140	Blood Platelet Disorders
D001796	C15.378.147	Blood Protein Disorders
D001816	C16.131.077.137	Bloom Syndrome
D001819	C02.081.125	Bluetongue
D001832	C23.888.119	Body Temperature Changes
D001835	C23.888.144	Body Weight
