id	treenum	term
D006484	C06.405.469.860.401	Hemorrhoids
D006486	C18.452.565.500.500	Hemosiderosis
D006491	C08.528.380	Hemothorax
D006501	C06.552.308.500.356	Hepatic Encephalopathy
D006502	C06.552.347	Budd-Chiari Syndrome
D006504	C06.552.360	Hepatic Veno-Occlusive Disease
D006505	C06.552.380	Hepatitis
D006506	C02.440.420	Hepatitis A
D006509	C02.256.430.400	Hepatitis B
D006519	C06.552.380.290	Hepatitis, Alcoholic
D006520	C06.552.380.315	Hepatitis, Animal
D006521	C06.552.380.350	Hepatitis, Chronic
D006522	C02.256.076.381	Hepatitis, Infectious Canine
D006524	C02.407	Hepatitis, Viral, Animal
D006525	C02.440	Hepatitis, Viral, Human
D006526	C02.440.440	Hepatitis C
D006527	C06.552.413	Hepatolenticular Degeneration
D006528	C04.557.470.200.025.255	Carcinoma, Hepatocellular
D006529	C06.552.416	Hepatomegaly
D006530	C06.552.465	Hepatorenal Syndrome
D006547	C23.300.707	Hernia
D006548	C23.300.707.500	Hernia, Diaphragmatic
D006549	C23.300.707.500.233	Hernia, Diaphragmatic, Traumatic
D006550	C23.300.707.374.750	Hernia, Femoral
D006551	C23.300.707.500.467	Hernia, Hiatal
D006552	C23.300.707.374.875	Hernia, Inguinal
D006553	C23.300.707.937	Hernia, Obturator
D006554	C16.614.378	Hernia, Umbilical
D006555	C23.300.707.374.937	Hernia, Ventral
D006556	C25.775.425	Heroin Dependence
D006557	C02.782.687.359.213.466	Herpangina
D006558	C02.256.466.382.290	Herpes Genitalis
D006559	C13.703.570	Pemphigoid Gestationis
D006560	C02.256.466.382.316	Herpes Labialis
D006561	C02.256.466.382	Herpes Simplex
D006562	C02.256.466.930.750	Herpes Zoster
D006563	C02.256.466.930.750.466	Herpes Zoster Ophthalmicus
D006566	C02.256.466	Herpesviridae Infections
D006606	C23.888.821.578	Hiccup
D006607	C04.557.470.035.175	Adenoma, Sweat Gland
D006610	C10.228.566	High Pressure Neurological Syndrome
D006616	C05.550.323.468	Hip Contracture
D006617	C05.550.518.384	Hip Dislocation
D006618	C05.660.449	Hip Dislocation, Congenital
D006619	C22.268.485	Hip Dysplasia, Canine
D006620	C26.404.061.425	Hip Fractures
D006623	C10.562.925	von Hippel-Lindau Disease
D006627	C06.198.439	Hirschsprung Disease
D006628	C17.800.329.750	Hirsutism
D006646	C08.381.483.375	Histiocytosis, Langerhans-Cell
D006660	C01.703.450	Histoplasmosis
D006679	C02.782.815.616.400.500	HIV Seropositivity
D006685	C08.360.940.490	Hoarseness
D006689	C04.557.386.355	Hodgkin Disease
D006691	C02.782.350.675.200	Classical Swine Fever
D006712	C10.228.140.163.100.365	Homocystinuria
D006725	C03.335.508.700.775.455	Hookworm Infections
D006726	C01.252.354.400	Hordeolum
D006732	C10.177.350	Horner Syndrome
D006734	C22.488	Horse Diseases
D006800	C02.782.815.200	Deltaretrovirus Infections
D006810	C26.088.390	Humeral Fractures
D006816	C10.228.140.079.545	Huntington Disease
D006819	C08.381.842.475	Hyaline Membrane Disease
D006828	C04.557.465.955.416.812	Hydatidiform Mole
D006831	C13.703.610	Polyhydramnios
D006832	C10.500.450	Hydranencephaly
D006833	C05.550.509	Hydrarthrosis
D006837	C17.800.600.425	Hydroa Vacciniforme
D006848	C12.294.882	Testicular Hydrocele
D006849	C10.228.140.602	Hydrocephalus
D006850	C10.228.140.602.750	Hydrocephalus, Normal Pressure
D006869	C12.777.419.307	Hydronephrosis
D006871	C11.250.480	Hydrophthalmos
D006872	C08.528.434	Hydropneumothorax
D006876	C08.528.476	Hydrothorax
D006925	C03.335.190.519	Hymenolepiasis
D006929	C19.053.800.604	Hyperaldosteronism
D006930	C10.597.751.791.400	Hyperalgesia
D006932	C23.550.429	Hyperbilirubinemia
D006933	C16.320.565.300	Hyperbilirubinemia, Hereditary
D006934	C18.452.174.451	Hypercalcemia
D006935	C23.888.852.544	Hypercapnia
D006936	C07.793.422	Hypercementosis
D006937	C18.452.584.500.500.396	Hypercholesterolemia
D006938	C16.320.565.398.481	Hyperlipoproteinemia Type II
D006939	C13.703.407.500	Hyperemesis Gravidarum
D006940	C14.907.474	Hyperemia
D006941	C10.597.751.791.450	Hyperesthesia
D006942	C15.378.147.542	Hypergammaglobulinemia
D006943	C18.452.394.952	Hyperglycemia
D006944	C19.246.099.750.490	Hyperglycemic Hyperosmolar Nonketotic Coma
D006945	C17.800.946.350	Hyperhidrosis
D006946	C18.452.394.968	Hyperinsulinism
D006947	C18.452.950.396	Hyperkalemia
D006948	C10.597.350.350	Hyperkinesis
D006949	C18.452.584.500.500	Hyperlipidemias
D006950	C16.320.565.398.450	Hyperlipidemia, Familial Combined
D006951	C18.452.584.500.500.644	Hyperlipoproteinemias
D006952	C16.320.565.398.483	Hyperlipoproteinemia Type III
D006953	C16.320.565.398.487	Hyperlipoproteinemia Type IV
D006954	C16.320.565.398.493	Hyperlipoproteinemia Type V
D006955	C18.452.950.452	Hypernatremia
D006956	C11.744.479	Hyperopia
D006957	C05.116.099.708.486	Hyperostosis Frontalis Interna
D006958	C05.116.099.708.479	Hyperostosis, Cortical, Congenital
D006959	C12.777.419.313	Hyperoxaluria
D006960	C12.777.419.313.500	Hyperoxaluria, Primary
D006961	C19.642.355	Hyperparathyroidism
D006962	C19.642.355.480	Hyperparathyroidism, Secondary
D006963	C23.888.821.645	Hyperphagia
D006964	C10.228.140.617.738.250	Hyperpituitarism
D006965	C23.550.444	Hyperplasia
D006966	C10.228.140.617.738.250.450	Hyperprolactinemia
D006967	C20.543	Hypersensitivity
D006968	C20.543.418	Hypersensitivity, Delayed
D006969	C20.543.480	Hypersensitivity, Immediate
D006970	C10.886.425.800.200	Disorders of Excessive Somnolence
D006971	C15.604.744.293	Hypersplenism
D006972	C05.116.099.370.231.480	Hypertelorism
D006973	C14.907.489	Hypertension
D006974	C14.907.489.330	Hypertension, Malignant
D006975	C06.552.494	Hypertension, Portal
D006976	C08.381.423	Hypertension, Pulmonary
D006977	C12.777.419.331	Hypertension, Renal
D006978	C12.777.419.331.490	Hypertension, Renovascular
D006980	C19.874.397	Hyperthyroidism
D006981	C19.874.410	Hyperthyroxinemia
D006983	C17.800.329.875	Hypertrichosis
D006984	C23.300.775	Hypertrophy
D006985	C08.618.501	Hyperventilation
D006986	C18.654.301	Hypervitaminosis A
D006987	C10.597.751.791.500	Hypesthesia
D006988	C11.290.484	Hyphema
D006994	C19.053.500.480	Hypoaldosteronism
D006995	C16.320.565.398.500.440	Hypobetalipoproteinemias
D006996	C18.452.174.509	Hypocalcemia
D007000	C03.858.211.503.398	Hypodermyiasis
D007003	C18.452.394.984	Hypoglycemia
D007006	C19.391.482	Hypogonadism
D007007	C17.800.946.370	Hypohidrosis
D007008	C18.452.950.565	Hypokalemia
D007009	C16.320.565.398.500	Hypolipoproteinemias
D007010	C18.452.950.620	Hyponatremia
D007011	C19.642.482	Hypoparathyroidism
D007012	C04.588.443.665.710.485	Hypopharyngeal Neoplasms
D007014	C16.320.565.618.482	Hypophosphatasia
D007015	C12.777.419.815.647	Hypophosphatemia, Familial
D007018	C10.228.140.617.738.300	Hypopituitarism
D007019	C15.378.147.607	Hypoproteinemia
D007020	C15.378.100.100.550	Hypoprothrombinemias
D007021	C12.294.494.400	Hypospadias
D007022	C14.907.514	Hypotension
D007024	C10.177.575.600.450	Hypotension, Orthostatic
D007027	C10.228.140.617	Hypothalamic Diseases
D007029	C04.588.614.250.195.885.500	Hypothalamic Neoplasms
D007035	C23.888.119.565	Hypothermia
D007037	C19.874.482	Hypothyroidism
D007039	C17.800.329.937	Hypotrichosis
D007040	C08.618.846.565	Hypoventilation
D007049	C23.550.291.875	Iatrogenic Disease
D007057	C16.131.831.512	Ichthyosis
D007077	C06.405.469.420	Ileal Diseases
D007078	C04.588.274.476.411.501	Ileal Neoplasms
D007079	C06.405.205.462.624	Ileitis
D007088	C10.597.606.762.400	Illusions
D007102	C17.800.321.500	Immersion Foot
D007105	C20.543.520	Immune Complex Diseases
D007119	C15.604.338.500	Immunoblastic Lymphadenopathy
D007153	C20.673	Immunologic Deficiency Syndromes
D007154	C20	Immune System Diseases
D007160	C20.683	Immunoproliferative Disorders
D007161	C04.557.386.390	Immunoproliferative Small Intestinal Disease
D007169	C01.252.410.868.820.504	Impetigo
D007172	C12.294.644.486	Erectile Dysfunction
D007177	C10.228.140.617.738.320	Inappropriate ADH Syndrome
D007184	C16.131.077.445	Incontinentia Pigmenti
D007222	C24.426	Inert Gas Narcosis
D007228	C18.654.422	Infant Nutrition Disorders
D007232	C16.614	Infant, Newborn, Diseases
D007235	C16.614.521	Infant, Premature, Diseases
D007238	C23.550.513.355	Infarction
D007239	C01.539	Infection
D007241	C02.256.466.488	Infectious Bovine Rhinotracheitis
D007244	C02.256.466.313.400	Infectious Mononucleosis
D007246	C12.294.365	Infertility
D007247	C13.351.500.365.700	Infertility, Female
D007248	C12.294.365.700	Infertility, Male
D007249	C23.550.470	Inflammation
D007251	C02.782.620.365	Influenza, Human
D007280	C21	Disorders of Environmental Origin
D007299	C25.723.127.071	Insect Bites and Stings
D007319	C10.886.425.800.800	Sleep Initiation and Maintenance Disorders
D007331	C10.597.606.358.800.200.600	Insulin Coma
D007333	C18.452.394.968.500	Insulin Resistance
D007340	C04.557.470.035.100.852	Insulinoma
D007383	C14.907.137.126.669	Intermittent Claudication
D007402	C17.800.174.640	Intertrigo
D007405	C05.116.900.307	Intervertebral Disc Displacement
D007409	C06.198.719	Intestinal Atresia
D007410	C06.405.469	Intestinal Diseases
D007411	C03.432	Intestinal Diseases, Parasitic
D007412	C06.267.550	Intestinal Fistula
D007414	C04.588.274.476.411	Intestinal Neoplasms
D007415	C06.405.469.531	Intestinal Obstruction
D007416	C06.405.469.557	Intestinal Perforation
D007417	C23.300.825.411	Intestinal Polyps
D007418	C06.405.469.531.492.500	Intestinal Pseudo-Obstruction
D007431	C23.550.505	Intraoperative Complications
D007443	C06.405.469.531.577	Intussusception
D007446	C23.550.210.190	Chromosome Inversion
D007499	C11.941.375	Iris Diseases
D007500	C11.941.375.385	Iritis
D007511	C23.550.513	Ischemia
D007516	C04.557.470.035.100	Adenoma, Islet Cell
D007562	C10.228.140.380.165	Creutzfeldt-Jakob Syndrome
D007565	C23.550.429.500	Jaundice
D007566	C16.320.565.300.764	Jaundice, Chronic Idiopathic
D007567	C16.614.451.500	Jaundice, Neonatal
D007569	C05.500.460	Jaw Abnormalities
D007570	C04.182.089.530	Jaw Cysts
D007571	C05.500	Jaw Diseases
D007572	C10.900.300.284.500.400	Jaw Fractures
D007573	C04.588.149.721.450	Jaw Neoplasms
D007575	C05.500.480	Jaw, Edentulous
D007576	C05.500.480.450	Jaw, Edentulous, Partially
D007579	C06.405.469.600	Jejunal Diseases
D007580	C04.588.274.476.411.523	Jejunal Neoplasms
D007589	C15.378.553.774.600	Job Syndrome
D007592	C05.550	Joint Diseases
D007593	C05.550.521	Joint Instability
D007594	C05.550.535	Joint Loose Bodies
D007617	C02.256.466.382.410	Kaposi Varicelliform Eruption
D007619	C08.127.384.500	Kartagener Syndrome
D007625	C05.651.460.700.500	Kearns-Sayre Syndrome
D007627	C17.300.200.425	Keloid
D007634	C11.204.564	Keratitis
D007635	C02.256.466.382.465.450	Keratitis, Dendritic
D007636	C17.800.417	Keratoacanthoma
D007637	C11.187.183.394	Keratoconjunctivitis
D007638	C11.187.183.394.550	Keratoconjunctivitis Sicca
D007639	C01.252.354.450	Keratoconjunctivitis, Infectious
D007640	C11.204.627	Keratoconus
D007642	C17.800.428	Keratosis
D007644	C16.320.850.190	Darier Disease
D007645	C16.320.850.475	Keratoderma, Palmoplantar
D007647	C10.228.140.163.480	Kernicterus
D007662	C18.452.076.176.652	Ketosis
D007669	C12.777.419.600.500	Kidney Calculi
D007673	C12.777.419.393	Kidney Cortex Necrosis
D007674	C12.777.419	Kidney Diseases
D007676	C12.777.419.780.750.500	Kidney Failure, Chronic
D007680	C04.588.945.947.535	Kidney Neoplasms
D007681	C12.777.419.493	Kidney Papillary Necrosis
D007683	C12.777.419.780.050.500	Kidney Tubular Necrosis, Acute
D007690	C12.777.419.403.875	Polycystic Kidney Diseases
D007691	C12.777.419.403.500	Medullary Sponge Kidney
D007706	C10.228.140.163.100.540	Menkes Kinky Hair Syndrome
D007710	C01.252.400.310.503	Klebsiella Infections
D007713	C12.706.316.795.500	Klinefelter Syndrome
D007714	C05.116.099.370.535	Klippel-Feil Syndrome
D007715	C14.907.077.410	Klippel-Trenaunay-Weber Syndrome
D007718	C26.558.554	Knee Injuries
D007724	C13.351.500.944.815	Vulvar Lichen Sclerosus
D007725	C04.557.470.200.025.415.410	Krukenberg Tumor
D007729	C10.228.228.800.435	Kuru
D007732	C18.654.521.719.500	Kwashiorkor
D007733	C02.081.885.475	Kyasanur Forest Disease
D007738	C05.116.900.800.500	Kyphosis
D007744	C13.703.420	Obstetric Labor Complications
D007752	C13.703.420.491	Obstetric Labor, Premature
D007757	C01.539.503	Laboratory Infection
D007759	C09.218.568	Labyrinth Diseases
D007762	C09.218.568.558	Labyrinthitis
D007766	C11.496	Lacrimal Apparatus Diseases
D007767	C11.496.456	Lacrimal Duct Obstruction
D007775	C13.703.844.506	Lactation Disorders
D007787	C06.405.469.637.506	Lactose Intolerance
D007794	C22.510	Lameness, Animal
D007805	C10.597.606.150.500.550	Language Development Disorders
D007806	C10.597.606.150.500	Language Disorders
D007815	C03.335.508.523	Larva Migrans
D007816	C03.335.508.523.780	Larva Migrans, Visceral
D007818	C08.360	Laryngeal Diseases
D007819	C08.360.313	Laryngeal Edema
D007822	C04.588.443.665.481	Laryngeal Neoplasms
D007826	C08.360.895.500	Laryngismus
D007827	C08.360.535	Laryngitis
D007829	C08.360.591	Laryngostenosis
D007835	C02.782.082.545	Lassa Fever
D007842	C25.723.756.558	Lathyrism
D007849	C10.228.140.617.500	Laurence-Moon Syndrome
D007855	C25.723.522.750	Lead Poisoning
D007859	C10.597.606.150.550	Learning Disorders
D007863	C16.320.565.398.500.330.500	Lecithin Cholesterol Acyltransferase Deficiency
D007868	C17.800.446	Leg Dermatoses
D007869	C26.558	Leg Injuries
D007870	C05.116.099.655	Leg Length Inequality
D007871	C17.800.893.592	Leg Ulcer
D007873	C05.116.852.175.570	Legg-Calve-Perthes Disease
D007876	C01.252.400.500	Legionellosis
D007877	C01.252.400.500.501	Legionnaires' Disease
D007888	C10.228.140.163.100.412	Leigh Disease
D007889	C04.557.450.590.450	Leiomyoma
D007890	C04.557.450.590.455	Leiomyosarcoma
D007896	C03.752.300.500	Leishmaniasis
D007897	C03.752.300.500.400.385	Leishmaniasis, Mucocutaneous
D007898	C03.752.300.500.510	Leishmaniasis, Visceral
D007905	C11.510	Lens Diseases
D007906	C11.510.598	Lens Subluxation
D007911	C17.800.621.430.530.550	Lentigo
D007918	C01.252.410.040.552.386	Leprosy
D007922	C01.252.400.511	Leptospirosis
D007925	C14.907.109.661	Leriche Syndrome
D007926	C10.228.140.163.100.425	Lesch-Nyhan Syndrome
D007938	C04.557.337	Leukemia
D007939	C04.557.337.372.594	Leukemia L1210
D007940	C04.557.337.372.602	Leukemia L5178
D007941	C04.557.337.372.782	Leukemia P388
D007942	C04.557.337.372	Leukemia, Experimental
D007943	C04.557.337.415	Leukemia, Hairy Cell
D007945	C04.557.337.428	Leukemia, Lymphoid
D007946	C04.557.337.440	Leukemia, Mast-Cell
D007947	C04.557.337.539.275.450	Leukemia, Megakaryoblastic, Acute
D007948	C04.557.337.539.275.484	Leukemia, Monocytic, Acute
D007951	C04.557.337.539	Leukemia, Myeloid
D007952	C04.557.337.595	Leukemia, Plasma Cell
D007953	C04.557.337.650	Leukemia, Radiation-Induced
D007955	C15.378.190.636.484	Leukemoid Reaction
D007960	C15.378.553	Leukocyte Disorders
D007964	C15.378.553.475	Leukocytosis
D007965	C10.228.140.163.100.362.500	Leukodystrophy, Globoid Cell
D007966	C10.228.140.163.100.362.550	Leukodystrophy, Metachromatic
D007967	C07.465.385	Leukoedema, Oral
D007968	C02.182.525.500	Leukoencephalopathy, Progressive Multifocal
D007969	C10.228.140.300.700	Leukomalacia, Periventricular
D007970	C15.378.553.546	Leukopenia
D007971	C04.834.512	Leukoplakia
D007972	C04.588.443.591.545	Leukoplakia, Oral
D007973	C13.351.500.894.700.500	Leukorrhea
D007979	C14.240.400.701	Levocardia
D007984	C04.557.475.750.847.249	Leydig Cell Tumor
D008010	C17.800.859.475.560	Lichen Planus
D008039	C04.557.470.200.025.095.410	Linitis Plastica
D008047	C07.465.409	Lip Diseases
D008048	C04.588.443.591.550	Lip Neoplasms
D008052	C16.320.565.398	Lipid Metabolism, Inborn Errors
D008059	C16.320.565.202.715.640	Mucopolysaccharidosis I
D008060	C17.800.849.391	Lipodystrophy
D008061	C01.252.410.040.137.631	Whipple Disease
D008064	C16.320.565.398.641	Lipidoses
D008065	C08.618.490.500	Lipoid Proteinosis of Urbach and Wiethe
D008067	C04.557.450.550.400	Lipoma
D008068	C17.800.463	Lipomatosis
D008069	C17.800.463.500	Lipomatosis, Multiple Symmetrical
D008072	C16.320.565.398.465	Hyperlipoproteinemia Type I
D008080	C04.557.450.550.420	Liposarcoma
D008088	C01.252.410.514	Listeriosis
D008100	C01.539.830.025.020.455	Liver Abscess
D008101	C01.539.830.025.020.455.460	Liver Abscess, Amebic
D008103	C06.552.630	Liver Cirrhosis
D008104	C06.552.630.380	Liver Cirrhosis, Alcoholic
D008105	C06.130.120.135.250.250	Liver Cirrhosis, Biliary
D008106	C06.552.630.467	Liver Cirrhosis, Experimental
D008107	C06.552	Liver Diseases
D008108	C06.552.645	Liver Diseases, Alcoholic
D008109	C03.518	Liver Diseases, Parasitic
D008113	C04.588.274.623	Liver Neoplasms
D008114	C04.588.274.623.460	Liver Neoplasms, Experimental
D008118	C03.335.508.700.750.361.518	Loiasis
D008133	C14.280.067.565	Long QT Syndrome
D008141	C05.116.900.800.750	Lordosis
D008146	C02.782.350.250.650	Louping Ill
D008151	C14.280.067.780.560	Lown-Ganong-Levine Syndrome
D008158	C01.539.535	Ludwig's Angina
D008166	C02.256.743.494	Lumpy Skin Disease
D008169	C01.539.830.025.490	Lung Abscess
D008171	C08.381	Lung Diseases
D008172	C01.703.534	Lung Diseases, Fungal
D008173	C08.381.495	Lung Diseases, Obstructive
D008174	C03.582	Lung Diseases, Parasitic
D008175	C04.588.894.797.520	Lung Neoplasms
D008177	C01.252.410.040.552.846.583.470	Lupus Vulgaris
D008178	C17.300.475	Lupus Erythematosus, Cutaneous
D008179	C17.300.475.479	Lupus Erythematosus, Discoid
D008180	C17.300.480	Lupus Erythematosus, Systemic
D008181	C12.777.419.570.363.680	Lupus Nephritis
D008185	C14.240.400.560.375.518	Lutembacher Syndrome
D008193	C01.252.400.155.569	Lyme Disease
D008199	C15.604.315	Lymphadenitis
D008200	C15.604.360	Lymphangiectasis
D008201	C15.604.360.500	Lymphangiectasis, Intestinal
D008202	C04.557.375.450	Lymphangioma
D008203	C04.557.375.460	Lymphangiomyoma
D008204	C04.557.375.480	Lymphangiosarcoma
D008205	C15.604.406	Lymphangitis
D008206	C15.604	Lymphatic Diseases
D008207	C04.697.650.560	Lymphatic Metastasis
D008209	C15.604.496	Lymphedema
D008210	C04.182.430	Lymphocele
D008216	C02.182.550.500	Lymphocytic Choriomeningitis
D008218	C15.378.553.475.604	Lymphocytosis
D008219	C01.252.400.210.210.490	Lymphogranuloma Venereum
D008223	C04.557.386	Lymphoma
D008224	C04.557.386.480.350	Lymphoma, Follicular
D008228	C04.557.386.480	Lymphoma, Non-Hodgkin
D008230	C04.557.386.480.150.600	Lymphomatoid Granulomatosis
D008231	C15.378.553.546.605	Lymphopenia
D008232	C15.604.515	Lymphoproliferative Disorders
D008258	C04.557.595.925	Waldenstrom Macroglobulinemia
D008260	C07.465.910.460	Macroglossia
D008265	C07.465.525.480	Macrostomia
D008268	C11.768.585.439	Macular Degeneration
D008269	C11.768.585.439.245	Macular Edema
D008271	C01.252.410.040.692.606	Mycetoma
D008275	C18.654.521.500.439	Magnesium Deficiency
D008286	C06.405.469.637	Malabsorption Syndromes
D008287	C23.550.548	Malacoplakia
D008288	C03.752.530	Malaria
D008289	C03.752.530.606	Malaria, Avian
D008303	C04.557.465.625.650.200.500	Malignant Carcinoid Syndrome
D008304	C02.256.466.606	Malignant Catarrh
D008305	C23.550.505.700	Malignant Hyperthermia
D008309	C06.405.117.468.524	Mallory-Weiss Syndrome
D008310	C07.793.494	Malocclusion
D008311	C07.793.494.610	Malocclusion, Angle Class I
D008312	C07.793.494.630	Malocclusion, Angle Class II
D008313	C07.793.494.650	Malocclusion, Angle Class III
D008325	C04.588.531.500	Mammary Neoplasms, Experimental
D008336	C05.500.607	Mandibular Diseases
D008337	C10.900.300.284.500.400.255	Mandibular Fractures
D008338	C10.900.300.284.500.500	Mandibular Injuries
D008339	C04.588.149.721.450.583	Mandibular Neoplasms
D008342	C05.116.099.370.231.576	Mandibulofacial Dysostosis
D008363	C16.320.565.202.607.500	alpha-Mannosidosis
D008368	C03.335.508.700.750.361.588	Mansonelliasis
D008375	C10.228.140.163.100.520	Maple Syrup Urine Disease
D008379	C02.782.417.560	Marburg Virus Disease
D008380	C02.256.466.650	Marek Disease
D008382	C05.116.099.674	Marfan Syndrome
D008413	C13.703.844.603	Mastitis
D008414	C22.196.581	Mastitis, Bovine
D008415	C04.557.450.565.465	Mastocytosis
D008417	C01.539.160.495.500	Mastoiditis
D008439	C05.500.693	Maxillary Diseases
D008440	C10.900.300.284.500.400.510	Maxillary Fractures
D008441	C04.588.149.721.450.601	Maxillary Neoplasms
D008444	C04.588.443.665.650.693.575	Maxillary Sinus Neoplasms
D008446	C10.900.300.284.500	Maxillofacial Injuries
D008457	C02.782.580.600.500.500	Measles
D008467	C01.539.463.199.750.750	Meckel Diverticulum
D008471	C08.381.520.687	Meconium Aspiration Syndrome
D008476	C04.182.444	Mediastinal Cyst
D008477	C08.846.187	Mediastinal Diseases
D008478	C08.846.187.290	Mediastinal Emphysema
D008479	C04.588.894.479	Mediastinal Neoplasms
D008480	C08.846.187.790	Mediastinitis
D008527	C04.557.465.625.600.380.515	Medulloblastoma
D008531	C06.405.469.158.701	Megacolon
D008532	C06.405.469.158.701.591	Megacolon, Toxic
D008538	C10.228.140.079.590	Meige Syndrome
D008539	C04.588.322.455.531	Meigs Syndrome
D008545	C04.557.465.625.650.510	Melanoma
D008546	C04.557.465.625.650.510.525	Melanoma, Experimental
D008548	C17.800.621.430.530	Melanosis
D008551	C06.405.227.600	Melena
D008554	C01.252.400.170.531	Melioidosis
D008556	C07.465.299.800	Melkersson-Rosenthal Syndrome
D008557	C05.116.099.708.702.593	Melorheostosis
D008569	C10.597.606.525	Memory Disorders
D008575	C09.218.568.217.500	Meniere Disease
D008577	C04.588.614.250.580	Meningeal Neoplasms
D008579	C04.557.580.520	Meningioma
D008580	C10.597.544	Meningism
D008581	C10.228.614	Meningitis
D008582	C10.228.614.220	Meningitis, Aseptic
D008583	C01.252.200.500.450	Meningitis, Haemophilus
D008584	C01.252.200.500.500	Meningitis, Listeria
D008585	C01.252.200.500.550	Meningitis, Meningococcal
D008586	C01.252.200.500.600	Meningitis, Pneumococcal
D008587	C02.182.550	Meningitis, Viral
D008588	C10.500.680.598	Meningocele
D008589	C01.252.400.625.549	Meningococcal Infections
D008590	C10.228.140.430.550	Meningoencephalitis
D008591	C10.500.680.610	Meningomyelocele
D008594	C13.351.500.056.630.250	Menopause, Premature
D008595	C13.351.500.852.691.449	Menorrhagia
D008599	C23.550.568	Menstruation Disturbances
D008607	C10.597.606.643	Intellectual Disability
D008630	C25.723.522.875	Mercury Poisoning
D008637	C04.557.435.500	Mesenchymoma
D008639	C04.182.473	Mesenteric Cyst
D008640	C06.844.520	Mesenteric Lymphadenitis
D008641	C06.405.469.675	Mesenteric Vascular Occlusion
D008644	C07.465.714.836.535	Mesial Movement of Teeth
D008649	C04.557.465.510	Mesonephroma
D008654	C04.557.470.035.510	Mesothelioma
D008659	C18.452	Metabolic Diseases
D008661	C16.320.565	Metabolism, Inborn Errors
D008664	C16.320.565.618	Metal Metabolism, Inborn Errors
D008679	C23.550.589	Metaplasia
D008708	C15.378.619	Methemoglobinemia
D008796	C13.351.500.852.691.622	Metrorrhagia
D008831	C05.660.207.620	Microcephaly
D008844	C05.500.460.457	Micrognathism
D008850	C11.250.566	Microphthalmos
D008865	C07.465.525.520	Microstomia
D008878	C08.381.730.542	Middle Lobe Syndrome
D008881	C10.228.140.546.399.750	Migraine Disorders
D008882	C07.465.815.355	Mikulicz' Disease
D008883	C17.800.946.492	Miliaria
D008924	C03.858.211.480	Mite Infestations
D008944	C14.280.484.461	Mitral Valve Insufficiency
D008945	C14.280.484.400.500	Mitral Valve Prolapse
D008946	C14.280.484.517	Mitral Valve Stenosis
D008947	C17.300.540	Mixed Connective Tissue Disease
D008949	C04.557.435.090	Adenoma, Pleomorphic
D008976	C02.256.743.611	Molluscum Contagiosum
D008989	C03.335.190.628	Monieziasis
D008992	C22.735.500	Monkey Diseases
D008998	C15.378.147.542.640	Monoclonal Gammopathy of Undetermined Significance
D009006	C23.550.210.050.500	Monosomy
D009008	C16.131.085	Abnormalities, Severe Teratoid
D009011	C05.550.518.336.750	Monteggia's Fracture
D009021	C25.775.675.600	Morphine Dependence
D009041	C23.888.571	Motion Sickness
D009050	C07.793.330	Fluorosis, Dental
D009056	C07.465.525	Mouth Abnormalities
D009057	C07	Stomatognathic Diseases
D009058	C08.618.659	Mouth Breathing
D009059	C07.465	Mouth Diseases
D009062	C04.588.443.591	Mouth Neoplasms
D009066	C07.465.550	Mouth, Edentulous
D009069	C10.228.662	Movement Disorders
D009072	C10.228.140.300.200.600	Moyamoya Disease
D009078	C04.182.511	Mucocele
D009080	C14.907.940.560	Mucocutaneous Lymph Node Syndrome
D009081	C05.116.198.371	Mucolipidoses
D009083	C16.320.565.202.715	Mucopolysaccharidoses
D009084	C16.320.565.202.715.650	Mucopolysaccharidosis III
D009085	C16.320.565.202.715.655	Mucopolysaccharidosis IV
D009087	C16.320.565.202.715.670	Mucopolysaccharidosis VI
D009091	C01.703.980.600	Mucormycosis
D009100	C16.320.565.100.620	Multiple Carboxylase Deficiency
D009101	C04.557.595.500	Multiple Myeloma
D009102	C23.550.835.525	Multiple Organ Failure
D009103	C10.114.375.500	Multiple Sclerosis
D009104	C26.640	Multiple Trauma
D009107	C02.782.580.600.680.500	Mumps
D009120	C05.651.475	Muscle Cramp
D009122	C10.597.613.550	Muscle Hypertonia
D009123	C10.597.613.575	Muscle Hypotonia
D009127	C05.651.504	Muscle Rigidity
D009128	C05.651.512	Muscle Spasticity
D009133	C10.597.613.612	Muscular Atrophy
D009134	C10.228.854.468	Muscular Atrophy, Spinal
D009135	C05.651	Muscular Diseases
D009136	C05.651.534.500	Muscular Dystrophies
D009137	C22.595	Muscular Dystrophy, Animal
D009139	C05.660	Musculoskeletal Abnormalities
D009140	C05	Musculoskeletal Diseases
D009145	C25.723.415.551	Mushroom Poisoning
D009155	C10.597.606.150.500.800.500	Mutism
D009157	C10.114.656	Myasthenia Gravis
D009164	C01.252.410.040.552	Mycobacterium Infections
D009165	C01.252.410.040.552.475	Mycobacterium Infections, Nontuberculous
D009175	C01.252.400.610.610	Mycoplasma Infections
D009180	C01.252.400.610	Mycoplasmatales Infections
D009181	C01.703	Mycoses
D009182	C04.557.386.480.750.800.550	Mycosis Fungoides
D009187	C10.228.228.618	Myelitis
D009188	C04.588.614.550.550	Myelitis, Transverse
D009190	C15.378.190.625	Myelodysplastic Syndromes
D009196	C15.378.190.636	Myeloproliferative Disorders
D009198	C03.858.211.503	Myiasis
D009202	C14.280.238	Cardiomyopathies
